repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
doris,9386,697458,74.3083,26.0,189.213,8.544,5.0,19.9794,0.0,1252.0,1.6562,1.0,1.0522,1.0,26.0,125.3175,1.0,3028.0478,0.0,180879.0
ARouter,98,3165,32.2959,10.0,57.9879,3.7041,2.0,4.9663,0.0,31.0,1.4082,1.0,0.7843,1.0,4.0,17.449,0.0,83.3327,0.0,765.0
onedev,8426,339086,40.2428,14.0,177.6384,5.8685,4.0,8.9818,0.0,379.0,1.3965,1.0,0.7863,1.0,8.0,26.8477,0.0,521.8075,0.0,27493.0
QMUI_Android,1066,58309,54.6989,11.0,138.047,5.4681,3.0,6.5639,0.0,54.0,1.6295,1.0,1.3401,1.0,16.0,35.3424,0.0,197.8988,0.0,2968.0
jib,703,35401,50.357,28.0,67.5832,6.8834,4.0,7.3565,0.0,46.0,1.2219,1.0,0.6465,1.0,5.0,17.1394,0.0,73.298,0.0,780.0
Java,621,10966,17.6586,12.0,22.5869,0.7649,0.0,1.3073,0.0,15.0,1.1739,1.0,0.7265,1.0,6.0,1.0982,0.0,5.196,0.0,99.0
dolphinscheduler,2724,96822,35.5441,14.0,63.1991,6.5764,5.0,6.4858,0.0,75.0,1.3756,1.0,0.688,1.0,7.0,11.6898,0.0,58.744,0.0,1609.0
zuul,520,22408,43.0923,20.0,68.0346,6.5635,4.0,7.7837,0.0,65.0,1.6096,1.0,1.0141,1.0,10.0,24.9981,1.0,138.6323,0.0,1815.0
languagetool,2624,214869,81.8861,25.0,317.8148,5.3434,4.0,6.1814,0.0,85.0,1.5918,1.0,0.9875,1.0,28.0,55.6162,1.0,404.8453,0.0,12804.0
mit-deep-learning-book-pdf,1,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
kkFileView,103,13247,128.6117,44.0,409.035,6.8058,5.0,5.9919,0.0,27.0,1.0777,1.0,0.334,1.0,3.0,324.9417,0.0,2944.789,0.0,29897.0
piggymetrics,99,1881,19.0,11.0,20.054,6.0404,5.0,4.3423,0.0,17.0,1.0606,1.0,0.2398,1.0,2.0,3.8283,0.0,10.0793,0.0,54.0
logger,18,827,45.9444,36.0,44.3057,5.8333,6.0,3.0534,0.0,11.0,1.1667,1.0,0.3835,1.0,2.0,14.9444,0.0,35.5866,0.0,128.0
xpipe,1662,73208,44.0481,21.0,69.6909,7.0758,5.0,6.8675,0.0,80.0,1.5698,1.0,1.0977,1.0,21.0,19.9278,1.0,177.4051,0.0,4207.0
Material-Animations,45,1010,22.4444,8.0,35.2804,4.4,2.0,4.0587,1.0,20.0,1.4667,1.0,0.7568,1.0,3.0,4.7556,0.0,16.1078,0.0,107.0
spring-analysis,33,378,11.4545,8.0,7.9021,2.4242,2.0,2.6461,0.0,14.0,1.2424,1.0,0.7513,1.0,4.0,1.7879,0.0,3.1894,0.0,10.0
AndroidAutoSize,49,1720,35.102,15.0,56.2447,5.4082,4.0,4.2373,0.0,20.0,1.4082,1.0,0.4966,1.0,2.0,31.2857,1.0,136.3002,0.0,937.0
PictureSelector,737,39103,53.057,12.0,136.2037,5.156,2.0,8.658,0.0,108.0,1.2374,1.0,0.669,1.0,9.0,49.4491,0.0,372.1858,0.0,6720.0
pinpoint,9244,292167,31.6061,18.0,46.438,5.2443,4.0,5.8189,0.0,114.0,1.1379,1.0,0.4904,1.0,20.0,11.7415,0.0,89.4367,0.0,5048.0
tink,1465,82161,56.0826,30.0,78.7861,7.4416,5.0,7.3866,0.0,105.0,1.2928,1.0,1.2456,1.0,41.0,30.0758,1.0,184.0465,0.0,5123.0
deeplearning4j,5707,567153,99.3785,28.0,883.7416,8.464,7.0,9.6247,0.0,219.0,2.2139,2.0,19.3791,1.0,1463.0,54436.2826,6.0,2360724.6678,0.0,102982776.0
Android-PickerView,91,4421,48.5824,7.0,112.5576,3.7253,2.0,5.0576,0.0,26.0,1.1538,1.0,0.3628,1.0,2.0,15.4945,0.0,90.5636,0.0,837.0
dex2jar,571,41715,73.056,22.0,158.314,5.4308,3.0,6.8603,0.0,51.0,1.5709,1.0,0.9822,1.0,12.0,21.1331,0.0,136.5139,0.0,2556.0
banner,73,2724,37.3151,20.0,79.3202,6.0822,5.0,6.1571,0.0,43.0,1.8356,2.0,0.6875,1.0,4.0,47.6849,1.0,350.8988,0.0,2994.0
mall-learning,245,14269,58.2408,16.0,128.3224,4.849,3.0,4.2491,0.0,19.0,1.1061,1.0,0.3086,1.0,2.0,233.0245,0.0,1260.3156,0.0,9549.0
druid,14996,783537,52.2497,24.0,103.726,7.9116,5.0,9.3556,0.0,152.0,1.3782,1.0,1.8172,1.0,165.0,62.5339,1.0,4492.1792,0.0,541320.0
COLA,559,9619,17.2075,11.0,20.1395,4.3256,3.0,4.4991,0.0,35.0,1.3453,1.0,0.7741,1.0,5.0,4.975,0.0,18.3203,0.0,231.0
mall-swarm,763,101601,133.1599,32.0,260.931,3.7942,3.0,4.7544,0.0,45.0,1.232,1.0,0.4346,1.0,4.0,1107.6789,13.0,8139.6475,0.0,161554.0
spring-boot-admin,459,13881,30.2418,17.0,36.2061,7.7516,6.0,6.1288,0.0,49.0,1.2898,1.0,0.6843,1.0,5.0,7.2636,0.0,27.7879,0.0,306.0
